Log File,Pre-Processing Time,CPU Time,CPU GFLOPS,Matrix A Length,Approx. Clock Cycles,Repeat Time,Num Samples,Average Power,Max Power,Total Kernel Runtime,FPGA Time,FPGA GFLOPS
soc-Pokec.log,18.4594,244.848,0.263473,213348,366430,614,60,48.2823,53.2817,1087.16,1770.62,36.4341
lowThrust_7.log,0.0322758,0.453698,1.00921,1398,2487,32768,165,56.3035,59.1943,401.971,12.2672,37.3254
crankseg_2.log,1.22732,32.3133,0.87968,79218,87204,2580,60,68.5348,79.1825,1077.66,417.697,68.0526
mouse_gene.log,1.96087,47.7788,1.21445,155838,161477,1393,60,67.8205,77.1261,1083.49,777.813,74.5999
Si41Ge41H72.log,1.18247,25.2082,1.20571,83904,107111,2100,60,65.9873,72.6251,1068.54,508.829,59.7329
thread.log,0.281942,8.2901,1.07951,25758,29477,7633,60,69.8492,72.9729,1071.93,140.434,63.7255
analytics.log,0.512794,3.29082,1.40387,17240,31483,7146,60,49.7878,56.7315,1088.64,152.343,30.3255
boyd2.log,0.895157,3.09396,1.27132,11768,33629,6690,60,46.7366,50.9567,1109.72,165.878,23.7128
ford2.log,0.114008,1.2538,1.02869,4495,9193,24475,60,49.6797,51.0305,1077.99,44.0445,29.2833
language.log,0.675739,3.25999,0.974839,10358,29069,7740,60,48.9713,50.5655,1105.05,142.771,22.2591
nxp1.log,0.893156,4.73042,1.29819,22433,41870,5373,60,55.5667,58.8761,1076.63,200.378,30.6469
poli_large.log,0.0282708,0.087059,1.11667,334,1065,32768,386,49.1086,53.7357,171.02,5.21913,18.6269
trans5.log,0.135582,1.4874,1.1653,6368,11846,18993,60,54.3787,57.1464,1080.61,56.895,30.4644
ASIC_680k.log,1.63467,4.1493,1.60117,21999,54009,4165,60,48.2403,50.6649,1097.81,263.58,25.2057
c-52.log,0.0388983,0.431124,1.05147,1722,2847,32768,144,56.4202,59.5409,435.995,13.3055,34.0695
hangGlider_3.log,0.0275767,0.204658,1.0062,736,1219,32768,337,61.4822,62.1821,187.498,5.72198,35.9886
crystk03.log,0.113348,3.73373,0.951259,9247,12339,18234,60,61.7012,69.0179,1031.49,56.5698,62.7853
nd6k.log,0.42528,11.3893,1.21435,39403,41656,5401,60,72.3609,77.0534,1068.51,197.836,69.9094
TSOPF_RS_b2383.log,1.03437,22.5952,1.43476,85407,90178,2495,60,64.2501,72.3994,1079.27,432.572,74.9439
PFlow_742.log,3.77047,55.2071,1.37233,258791,305219,737,60,61.1189,70.4924,1083.88,1470.66,51.5159
