Sample Index,soc-Pokec.log,lowThrust_7.log,crankseg_2.log,mouse_gene.log,Si41Ge41H72.log,thread.log,analytics.log,boyd2.log,ford2.log,language.log,nxp1.log,poli_large.log,trans5.log,ASIC_680k.log,c-52.log,hangGlider_3.log,crystk03.log,nd6k.log,TSOPF_RS_b2383.log,PFlow_742.log
1,34.7595,44.848,34.9507,48.5922,59.195,64.4698,32.8316,50.9181,45.0708,49.5128,49.2271,53.7357,47.325,50.295,46.6655,59.2749,32.2819,61.6754,44.6245,34.4503
2,36.7815,44.848,38.9135,48.7151,58.9215,64.341,32.8316,50.2358,45.0708,49.6928,49.4808,53.7357,48.1772,50.295,46.6655,59.2749,32.2819,62.6085,44.6245,37.4224
3,36.7815,44.7127,41.2884,48.7151,58.9215,64.341,34.6611,50.2358,45.644,49.6928,50.4999,52.7162,48.1772,49.9622,47.0396,59.6729,36.0318,62.6085,44.0812,37.4224
4,39.3189,44.7127,41.2884,48.3366,57.7183,65.3838,34.6611,50.6172,45.644,49.1613,50.4999,52.7162,49.2353,49.9622,47.0396,59.6729,36.0318,62.9577,44.0812,40.6586
5,39.3189,44.6114,41.2884,48.3366,57.7183,65.3838,36.9481,50.6172,46.9236,49.1613,50.4114,52.3386,49.2353,49.3827,47.6576,59.6729,39.2255,62.9577,43.45,40.6586
6,39.5059,44.6114,44.9994,48.1041,57.4862,65.6079,36.9481,50.9567,46.9236,48.2522,50.4114,52.3386,50.0729,49.3827,47.6576,59.8881,39.2255,62.5821,45.1041,43.8261
7,39.5059,46.8043,44.9994,48.1041,57.4862,65.6079,39.1634,50.415,47.0946,48.2522,49.4564,51.0203,50.0729,48.8292,48.9755,59.8881,42.9458,62.5821,45.1041,43.8261
8,40.7314,46.8043,48.5391,51.6563,58.842,66.2953,39.1634,50.415,47.0946,47.9827,49.4564,51.0203,50.9175,48.8292,48.9755,60.2055,42.9458,63.6465,45.1041,47.434
9,40.7314,48.696,48.5391,51.6563,58.842,66.2953,41.2538,49.0732,47.7715,47.9827,50.5365,51.6444,51.2216,47.0287,49.4435,60.2055,46.2589,63.6465,48.6989,47.434
10,41.5401,48.696,52.4907,51.6563,58.113,66.5152,41.2538,49.0732,47.7715,47.6777,50.5365,51.6444,51.2216,47.0287,49.4435,60.3972,46.2589,64.5139,48.6989,50.514
11,41.5401,50.2839,52.4907,55.3681,58.113,66.5152,43.9765,49.1378,48.09,47.6777,51.4635,50.4497,52.0924,46.5432,50.0731,60.3972,50.0543,64.5139,52.1967,50.514
12,43.3029,52.3603,56.5758,55.3681,58.113,65.4304,43.9765,49.1378,48.09,46.5662,52.485,50.4497,52.0924,46.5432,50.0731,60.7216,50.0543,65.4242,52.1967,50.7088
13,43.3029,52.3603,56.5758,56.9272,57.3753,65.4304,46.0317,47.8526,48.09,46.5662,52.485,49.3179,53.1024,46.0387,52.2134,60.7216,52.8183,65.4242,55.8204,50.7088
14,45.3413,53.7287,60.5178,56.9272,57.3753,65.4304,46.0317,47.8526,48.2184,46.6526,52.485,49.3179,53.1024,46.0387,52.2134,61.0317,52.8183,65.5303,55.8204,50.7088
15,45.3413,53.7287,60.5178,61.0481,57.6411,64.956,50.054,46.6453,48.2184,46.6526,53.4263,47.9626,54.049,45.9505,52.9091,61.0317,52.8183,65.5303,59.2525,50.9194
16,47.8861,55.118,63.8678,61.0481,57.6411,64.956,50.054,46.6453,48.3356,47.1403,53.4263,47.9626,54.049,45.9505,52.9091,61.2813,57.8069,66.8977,59.2525,50.9194
17,47.8861,55.118,63.8678,65.0425,61.7309,68.252,52.893,45.8499,48.3356,47.1436,54.2013,47.9626,55.0275,45.9505,52.9091,61.2813,57.8069,66.8977,62.632,55.7877
18,50.1968,56.6633,68.2144,65.0425,61.7309,68.252,52.893,45.8499,48.6017,47.3638,54.2013,48.5013,55.0275,46.1586,54.5888,61.5719,62.6201,66.8977,62.632,55.7877
19,50.1968,56.6633,68.2144,69.1025,64.6417,67.8444,52.893,46.77,48.6017,48.3999,56.0465,48.5013,57.1464,46.1586,54.5888,61.5719,62.6201,71.0723,66.1772,59.2677
