filename,config
boyd2.mtx,PA-HI-SpMV-16-2-4
mouse_gene.mtx,HI-SpMV-24-1-1
hangGlider_3.mtx,PA-HI-SpMV-16-2-4
lowThrust_7.mtx,HI-SpMV-20-2-2
Si41Ge41H72.mtx,HI-SpMV-24-1-1
crankseg_2.mtx,HI-SpMV-24-1-1
analytics.mtx,PA-HI-SpMV-16-2-4
ASIC_680k.mtx,PA-HI-SpMV-16-2-4
c-52.mtx,PA-HI-SpMV-16-2-4
nd6k.mtx,HI-SpMV-24-1-1
TSOPF_RS_b2383.mtx,PA-SpMV-24-1-1
ford2.mtx,PA-HI-SpMV-16-2-4
language.mtx,PA-HI-SpMV-16-2-4
nxp1.mtx,PA-HI-SpMV-16-2-4
poli_large.mtx,PA-HI-SpMV-16-2-4
soc-Pokec.mtx,HI-SpMV-20-2-2
PFlow_742.mtx,HI-SpMV-24-1-1
thread.mtx,HI-SpMV-24-1-1
trans5.mtx,PA-HI-SpMV-16-2-4
crystk03.mtx,PA-SpMV-24-1-1
