Log File,Pre-Processing Time,CPU Time,CPU GFLOPS,Matrix A Length,Approx. Clock Cycles,Repeat Time,Num Samples,Average Power,Max Power,Total Kernel Runtime,FPGA Time,FPGA GFLOPS
lowThrust_7.log,0.0357147,0.444427,1.03027,1398,2487,32768,165,54.3036,58.8662,403.364,12.3097,37.1965
soc-Pokec.log,17.3164,150.847,0.427658,263814,416896,539,60,49.8578,53.9581,1083.92,2010.99,32.0791
ASIC_680k.log,1.7264,4.94057,1.34473,21999,54009,4165,60,48.22,51.8131,1099.51,263.989,25.1667
ford2.log,0.11964,1.24026,1.03992,4495,9193,24475,60,52.6449,58.4216,1082.85,44.2431,29.1519
language.log,0.654363,3.22599,0.985111,13006,31717,7093,60,49.0617,50.6788,1097.12,154.677,20.5458
poli_large.log,0.0498311,0.085287,1.13987,334,1065,32768,386,49.0986,54.0741,171.014,5.21894,18.6275
c-52.log,0.0507864,0.434788,1.0426,1921,3046,32768,135,56.8932,58.4909,468.787,14.3062,31.6863
analytics.log,0.516813,3.4045,1.35699,17890,32133,7002,60,55.0356,59.2348,1092.57,156.037,29.6076
nxp1.log,0.877361,4.12212,1.48976,22567,42004,5356,60,56.1686,59.8794,1079.45,201.54,30.4702
hangGlider_3.log,0.0422281,0.217712,0.945864,736,1219,32768,337,58.308,61.7379,187.947,5.73569,35.9026
trans5.log,0.1413,1.5844,1.09396,6368,11846,18993,60,54.2729,56.8591,1084.57,57.1038,30.353
boyd2.log,0.892908,3.24058,1.2138,11768,33629,6690,60,43.8989,46.2805,1110.82,166.042,23.6894
crystk03.log,0.120522,7.47915,0.474887,9247,12339,18234,60,67.521,69.9921,1031.46,56.568,62.7872
TSOPF_RS_b2383.log,1.0717,21.0046,1.54341,85407,90178,2495,60,64.2413,71.993,1079.2,432.547,74.9481
Si41Ge41H72.log,1.20676,23.2895,1.30504,98244,121451,1852,60,62.3729,69.8887,1068.65,577.027,52.6731
mouse_gene.log,2.06824,47.2918,1.22695,194796,200435,1122,60,65.3562,74.9432,1083.25,965.462,60.1005
thread.log,0.309501,8.51931,1.05046,26520,30239,7440,60,68.4013,73.0902,1070.18,143.842,62.2157
PFlow_742.log,5.37515,56.8241,1.33328,229314,322167,698,60,61.8631,71.2873,1061.88,1521.32,49.8003
crankseg_2.log,0.930024,24.2387,1.17273,86646,94632,2377,60,69.4685,76.9643,1076.67,452.952,62.7559
nd6k.log,0.456546,12.9884,1.06485,39612,41865,5374,60,71.7882,76.5965,1077.15,200.437,69.0025
