filename,config,cycle count
analytics.mtx,PA-HI-SpMV-12-2-2,41346
boyd2.mtx,PA-HI-SpMV-12-2-2,44812
crankseg_2.mtx,HI-SpMV-18-1-1,113376
ford2.mtx,PA-HI-SpMV-12-2-2,12122
language.mtx,PA-HI-SpMV-8-2-4,38316
mouse_gene.mtx,HI-SpMV-18-1-1,211577
nxp1.mtx,PA-HI-SpMV-12-2-2,55187
poli_large.mtx,PA-HI-SpMV-8-2-4,1311
soc-Pokec.mtx,HI-SpMV-16-1-4,499976
trans5.mtx,PA-HI-SpMV-12-2-2,15586
ASIC_680k.mtx,PA-HI-SpMV-12-2-2,71630
c-52.mtx,PA-HI-SpMV-12-2-2,3744
crystk03.mtx,HI-SpMV-16-1-4,15904
hangGlider_3.mtx,HI-SpMV-16-1-4,1566
lowThrust_7.mtx,HI-SpMV-16-1-4,3093
nd6k.mtx,HI-SpMV-18-1-1,51834
PFlow_742.mtx,HI-SpMV-16-1-4,388687
Si41Ge41H72.mtx,HI-SpMV-18-1-1,136757
thread.mtx,HI-SpMV-18-1-1,39206
TSOPF_RS_b2383.mtx,HI-SpMV-18-1-1,120790
